date,county,parameter,arithmetic_mean,local_site_name,city,state,county_code,latitude,longitude,units_of_measure
2023-09-30,Los Angeles,Lead (TSP) LC,0.0079625,Los Angeles-North Main Street,Los Angeles,California,37,34.0666,-118.2269,Micrograms/cubic meter (LC)
2023-09-30,Riverside,Lead (TSP) LC,0.0045,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2023-09-30,San Bernardino,Lead (TSP) LC,0.0057,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2023-09-30,San Diego,Lead (TSP) LC,0.013649999999999999,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2023-09-30,Santa Clara,Lead (TSP) LC,0.0148,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2023-12-31,Los Angeles,Lead (TSP) LC,0.011125,Compton,Compton,California,37,33.9014,-118.205,Micrograms/cubic meter (LC)
2023-12-31,Riverside,Lead (TSP) LC,0.0066,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2023-12-31,San Bernardino,Lead (TSP) LC,0.0075,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2023-12-31,San Diego,Lead (TSP) LC,0.0122,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2023-12-31,Santa Clara,Lead (TSP) LC,0.0196,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2024-03-31,Los Angeles,Lead (TSP) LC,0.006475,Compton,Compton,California,37,33.9014,-118.205,Micrograms/cubic meter (LC)
2024-03-31,Riverside,Lead (TSP) LC,0.0036,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2024-03-31,San Bernardino,Lead (TSP) LC,0.0056,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
