Year,County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,Lead Max 3-Mo Avg,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr
2020,6097,"Sonoma County, CA",1.6,1.6,,25.0,4.0,0.07,0.052,125.0,16.0,34.0,8.3,,,
2020,6099,"Stanislaus County, CA",2.2,1.8,,41.0,9.0,0.1,0.08,216.0,42.0,87.0,15.5,,,
2020,6101,"Sutter County, CA",,,,38.0,6.0,0.1,0.083,246.0,27.0,,,,,
2020,6103,"Tehama County, CA",,,,,,0.09,0.074,151.0,24.0,87.0,13.2,,,
2020,6107,"Tulare County, CA",,,,48.0,9.0,0.12,0.095,270.0,60.0,,,,,
2020,6109,"Tuolumne County, CA",,,,,,0.09,0.08,,,,,,,
2020,6111,"Ventura County, CA",,,,34.0,7.0,0.1,0.085,162.0,25.0,32.0,7.9,,,
2020,6113,"Yolo County, CA",,,,24.0,4.0,0.09,0.066,,,,,,,
2021,6001,"Alameda County, CA",2.0,1.7,,40.0,12.0,0.1,0.073,,,23.0,8.7,1.0,3.0,0.0
2021,6005,"Amador County, CA",,,,,,0.09,0.071,,,,,,,
2021,6007,"Butte County, CA",1.7,1.3,,22.0,5.0,0.09,0.074,129.0,26.0,51.0,11.1,,,
2021,6009,"Calaveras County, CA",,,,,,0.09,0.072,94.0,19.0,31.0,8.4,,,
2021,6011,"Colusa County, CA",,,,,,0.07,0.061,118.0,28.0,56.0,10.0,,,
2021,6013,"Contra Costa County, CA",1.7,1.0,,31.0,6.0,0.09,0.074,35.0,19.0,22.0,9.1,4.0,11.0,1.0
2021,6017,"El Dorado County, CA",,,,,,0.1,0.08,,,,,,,
2021,6019,"Fresno County, CA",2.6,1.8,,56.0,19.0,0.12,0.09,230.0,43.0,54.0,17.2,2.0,6.0,0.0
2021,6021,"Glenn County, CA",,,,,,0.08,0.064,145.0,24.0,,,,,
2021,6023,"Humboldt County, CA",0.8,0.6,,,2.0,0.05,0.041,58.0,20.0,15.0,6.9,1.0,1.0,0.0
