County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
6067,"Sacramento County, CA",1.6,1.3,28,9,0.09,0.077,2,1,0,32,9.4,50,20,,2023
6069,"San Benito County, CA",,,,,0.08,0.066,,,,15,4,59,12,,2023
6071,"San Bernardino County, CA",1.6,1.1,69,27,0.14,0.107,1,1,0,27,12.9,307,33,0.01,2023
6073,"San Diego County, CA",2.7,2,49,14,0.1,0.08,,,,20,9.7,59,22,0.02,2023
6075,"San Francisco County, CA",1.9,1.1,40,8,0.05,0.041,,,,,,,,,2023
6077,"San Joaquin County, CA",2.1,1.3,23,8,0.08,0.064,,,,30,7.9,113,25,,2023
6079,"San Luis Obispo County, CA",,,29,4,0.08,0.073,2,2,0,19,6.8,127,23,,2023
6081,"San Mateo County, CA",1.7,1,36,8,0.07,0.052,,,,22,8,,,,2023
6083,"Santa Barbara County, CA",1.5,0.9,18,2,0.07,0.062,2,1,1,19,8,81,18,,2023
6085,"Santa Clara County, CA",1.9,1.4,44,13,0.09,0.067,2,1,0,27,8.2,,,0.02,2023
6087,"Santa Cruz County, CA",,,,,0.07,0.051,,,,15,5.6,,,,2023
6089,"Shasta County, CA",,,,,0.08,0.067,,,,30,7.4,27,12,,2023
6093,"Siskiyou County, CA",,,,,0.07,0.059,,,,74,11,,,,2023
6095,"Solano County, CA",1.9,1.5,,6,0.08,0.061,3,1,0,17,6.5,32,12,,2023
6097,"Sonoma County, CA",1,0.7,25,3,0.06,0.046,,,,17,5,48,11,,2023
6099,"Stanislaus County, CA",1.8,1.2,39,8,0.09,0.077,,,,33,10.5,121,28,,2023
6101,"Sutter County, CA",,,33,6,0.08,0.067,,,,24,8.4,57,21,,2023
6103,"Tehama County, CA",,,,,0.08,0.069,,,,15,6.1,,,,2023
6107,"Tulare County, CA",,,36,7,0.1,0.087,,,,34,11.7,104,38,,2023
6109,"Tuolumne County, CA",,,,,0.09,0.067,,,,,,,,,2023
6111,"Ventura County, CA",,,29,5,0.09,0.076,,,,17,6.7,71,20,,2023
6113,"Yolo County, CA",,,18,3,0.08,0.065,,,,25,8.3,57,18,,2023
